id,label
0,0
1,1
2,0
3,6
4,3
5,3
6,2
7,4
8,6
9,2
10,3
11,0
12,2
13,2
14,6
15,2
16,5
17,2
18,5
19,3
20,6
21,5
22,6
23,4
24,0
25,0
26,4
27,6
28,2
29,5
30,3
31,6
32,3
33,6
34,0
35,5
36,6
37,2
38,3
39,3
40,0
41,4
42,0
43,5
44,6
45,3
46,5
47,3
48,5
49,6
50,0
51,3
52,5
53,4
54,4
55,3
56,2
57,2
58,5
59,3
60,6
61,3
62,4
63,5
64,5
65,3
66,2
67,6
68,6
69,3
70,6
71,5
72,4
73,3
74,3
75,6
76,5
77,6
78,6
79,4
80,2
81,6
82,0
83,3
84,5
85,0
86,3
87,3
88,6
89,3
90,6
91,0
92,3
93,0
94,0
95,0
96,2
97,3
98,3
99,0
100,3
101,6
102,0
103,3
104,5
105,2
106,4
107,4
108,2
109,2
110,3
111,0
112,0
113,4
114,3
115,2
116,3
117,6
118,2
119,6
120,5
121,6
122,2
123,2
124,4
125,3
126,3
127,6
128,3
129,5
130,2
131,6
132,2
133,6
134,3
135,5
136,5
137,3
138,6
139,6
140,6
141,3
142,0
143,6
144,2
145,2
146,3
147,3
148,3
149,2
150,4
151,0
152,5
153,3
154,5
155,5
156,4
157,5
158,0
159,3
160,2
161,3
162,3
163,3
164,6
165,6
166,6
167,0
168,5
169,6
170,6
171,3
172,5
173,6
174,4
175,4
176,6
177,2
178,4
179,5
180,6
181,3
182,2
183,3
184,3
185,0
186,4
187,3
188,3
189,3
190,6
191,6
192,5
193,5
194,3
195,4
196,5
197,6
198,0
199,4
200,6
201,3
202,3
203,3
204,3
205,5
206,4
207,4
208,2
209,5
210,6
211,4
212,0
213,4
214,4
215,5
216,5
217,4
218,4
219,3
220,3
221,4
222,5
223,0
224,0
225,3
226,5
227,4
228,0
229,3
230,4
231,6
232,5
233,2
234,3
235,3
236,4
237,4
238,0
239,6
240,3
241,6
242,6
243,0
244,1
245,3
246,3
247,3
248,0
249,0
250,6
251,2
252,4
253,2
254,3
255,6
256,5
257,4
258,2
259,6
260,4
261,0
262,0
263,6
264,2
265,0
266,2
267,3
268,3
269,4
270,6
271,6
272,5
273,3
274,5
275,3
276,4
277,5
278,0
279,6
280,3
281,2
282,6
283,2
284,2
285,4
286,2
287,0
288,2
289,6
290,6
291,3
292,6
293,2
294,3
295,4
296,2
297,0
298,4
299,4
300,3
301,4
302,2
303,3
304,0
305,3
306,5
307,3
308,3
309,3
310,3
311,6
312,4
313,3
314,1
315,6
316,6
317,2
318,4
319,3
320,4
321,4
322,3
323,6
324,6
325,0
326,2
327,3
328,3
329,5
330,3
331,3
332,0
333,3
334,5
335,3
336,0
337,6
338,0
339,3
340,0
341,5
342,0
343,4
344,6
345,6
346,3
347,3
348,2
349,4
350,3
351,0
352,6
353,3
354,3
355,4
356,3
357,0
358,3
359,2
360,3
361,5
362,3
363,6
364,5
365,3
366,3
367,3
368,2
369,0
370,2
371,6
372,4
373,4
374,4
375,0
376,1
377,5
378,4
379,4
380,6
381,5
382,3
383,3
384,3
385,6
386,3
387,5
388,6
389,0
390,2
391,6
392,3
393,2
394,0
395,5
396,2
397,2
398,0
399,0
400,0
401,5
402,3
403,3
404,2
405,6
406,2
407,5
408,5
409,5
410,0
411,5
412,4
413,3
414,3
415,6
416,6
417,3
418,5
419,4
420,6
421,3
422,2
423,4
424,5
425,0
426,2
427,3
428,3
429,4
430,5
431,4
432,2
433,6
434,6
435,0
436,3
437,2
438,3
439,0
440,4
441,0
442,4
443,2
444,6
445,2
446,0
447,3
448,5
449,1
450,0
451,3
452,4
453,6
454,4
455,5
456,2
457,4
458,0
459,6
460,5
461,5
462,2
463,3
464,6
465,6
466,2
467,3
468,6
469,2
470,3
471,5
472,2
473,2
474,6
475,1
476,3
477,6
478,4
479,4
480,0
481,6
482,6
483,0
484,4
485,4
486,6
487,5
488,3
489,6
490,3
491,4
492,3
493,0
494,4
495,4
496,5
497,5
498,4
499,5
500,6
501,2
502,3
503,5
504,0
505,3
506,3
507,6
508,6
509,4
510,2
511,3
512,0
513,3
514,0
515,3
516,5
517,4
518,0
519,6
520,3
521,6
522,0
523,6
524,3
525,6
526,3
527,3
528,2
529,3
530,0
531,3
532,5
533,5
534,2
535,6
536,6
537,6
538,5
539,4
540,4
541,6
542,6
543,6
544,4
545,6
546,3
547,4
548,3
549,3
550,0
551,4
552,4
553,6
554,0
555,4
556,2
557,0
558,6
559,4
560,1
561,4
562,5
563,0
564,2
565,5
566,0
567,2
568,6
569,4
570,6
571,3
572,6
573,3
574,2
575,2
576,2
577,3
578,3
579,2
580,4
581,3
582,2
583,3
584,5
585,2
586,4
587,5
588,6
589,2
590,2
591,3
592,6
593,4
594,3
595,4
596,4
597,0
598,2
599,4
600,4
601,3
602,4
603,0
604,3
605,4
606,0
607,4
608,6
609,4
610,0
611,5
612,3
613,4
614,5
615,4
616,0
617,6
618,4
619,0
620,3
621,6
622,0
623,3
624,3
625,3
626,4
627,2
628,6
629,3
630,6
631,3
632,0
633,6
634,3
635,2
636,5
637,0
638,0
639,4
640,2
641,4
642,3
643,6
644,3
645,4
646,6
647,5
648,5
649,3
650,2
651,2
652,3
653,3
654,6
655,2
656,3
657,4
658,6
659,5
660,4
661,3
662,3
663,3
664,3
665,5
666,6
667,6
668,4
669,0
670,6
671,6
672,6
673,2
674,6
675,6
676,6
677,0
678,0
679,6
680,3
681,3
682,6
683,6
684,4
685,6
686,6
687,3
688,0
689,3
690,3
691,5
692,2
693,0
694,4
695,3
696,2
697,3
698,0
699,6
700,2
701,3
702,2
703,6
704,5
705,2
706,3
707,0
708,3
709,3
710,4
711,0
712,2
713,3
714,6
715,3
716,4
717,2
718,3
719,6
720,0
721,3
722,3
723,0
724,4
725,0
726,0
727,2
728,6
729,6
730,3
731,2
732,3
733,0
734,3
735,6
736,4
737,4
738,0
739,3
740,6
741,4
742,6
743,4
744,4
745,2
746,0
747,3
748,5
749,3
750,4
751,3
752,0
753,2
754,6
755,3
756,0
757,6
758,3
759,4
760,5
761,0
762,0
763,3
764,6
765,3
766,3
767,3
768,6
769,1
770,3
771,0
772,4
773,4
774,2
775,5
776,3
777,6
778,0
779,5
780,0
781,6
782,6
783,4
784,0
785,0
786,3
787,2
788,4
789,6
790,0
791,2
792,3
793,4
794,0
795,3
796,6
797,5
798,0
799,5
800,3
801,0
802,3
803,3
804,5
805,3
806,5
807,4
808,6
809,4
810,3
811,2
812,4
813,4
814,0
815,6
816,6
817,3
818,4
819,2
820,4
821,5
822,2
823,0
824,5
825,6
826,5
827,4
828,5
829,4
830,0
831,5
832,2
833,4
834,2
835,0
836,4
837,4
838,1
839,0
840,6
841,4
842,4
843,4
844,0
845,0
846,3
847,4
848,2
849,5
850,6
851,4
852,4
853,6
854,0
855,2
856,4
857,3
858,6
859,5
860,4
861,2
862,0
863,6
864,4
865,2
866,4
867,4
868,3
869,3
870,3
871,3
872,0
873,5
874,4
875,6
876,6
877,6
878,3
879,0
880,3
881,4
882,2
883,6
884,5
885,4
886,2
887,0
888,0
889,5
890,3
891,5
892,3
893,4
894,2
895,6
896,2
897,3
898,6
899,2
900,6
901,0
902,3
903,6
904,5
905,3
906,3
907,5
908,4
909,5
910,5
911,4
912,6
913,0
914,4
915,3
916,4
917,6
918,4
919,0
920,0
921,1
922,3
923,3
924,2
925,3
926,2
927,6
928,6
929,0
930,4
931,0
932,5
933,4
934,0
935,2
936,3
937,0
938,3
939,3
940,3
941,3
942,6
943,0
944,4
945,4
946,4
947,4
948,3
949,3
950,5
951,2
952,4
953,2
954,0
955,6
956,4
957,6
958,6
959,2
960,2
961,2
962,0
963,3
964,5
965,0
966,0
967,2
968,3
969,3
970,3
971,3
972,6
973,0
974,6
975,6
976,4
977,0
978,3
979,6
980,2
981,5
982,4
983,6
984,0
985,6
986,3
987,2
988,3
989,2
990,6
991,6
992,2
993,3
994,4
995,0
996,2
997,0
998,6
999,3
1000,2
1001,3
1002,6
1003,2
1004,2
1005,6
1006,4
1007,6
1008,5
1009,0
1010,2
1011,2
1012,2
1013,3
1014,4
1015,6
1016,0
1017,0
1018,3
1019,4
1020,6
1021,0
1022,4
1023,1
1024,2
1025,4
1026,6
1027,2
1028,4
1029,6
1030,6
1031,0
1032,3
1033,3
1034,4
1035,3
1036,3
1037,0
1038,5
1039,3
1040,6
1041,4
1042,3
1043,6
1044,0
1045,6
1046,3
1047,4
1048,0
1049,4
1050,3
1051,0
1052,4
1053,2
1054,5
1055,3
1056,4
1057,0
1058,3
1059,0
1060,3
